Fecha;Nivel (m.s.n.m);Caudal (m³/s);Volumen (hm³);Estimado;INDI_CHJ
09-02-2006 00:00:00;0,198711340206;0,226549484536;0,0195738754639;0;"08A07"
09-02-2006 00:00:00;0,023925615693;2,58648698454;0,223472475464;0;"08A02"
10-02-2006 00:00:00;0,2093;;;0;"08A01"
10-02-2006 00:00:00;0,205541666667;0,22035;0,01903824;0;"08A07"
10-02-2006 00:00:00;0,0376388888889;1,85924166667;0,16063848;0;"08A02"
11-02-2006 00:00:00;0,212966666667;;;0;"08A01"
11-02-2006 00:00:00;0,212572916667;0,216321875;0,01869021;0;"08A07"
11-02-2006 00:00:00;0,05415625;3,117996875;0,26939493;0;"08A02"
12-02-2006 00:00:00;0,201770833333;;;0;"08A01"
12-02-2006 00:00:00;0,20778125;0,17694375;0,01528794;0;"08A07"
12-02-2006 00:00:00;0,0930104166667;2,81519791667;0,2432331;0;"08A02"
13-02-2006 00:00:00;0,205225;;;0;"08A01"
13-02-2006 00:00:00;0,202458333333;0,178019791667;0,01538091;0;"08A07"
13-02-2006 00:00:00;0,0675902777778;1,92508125;0,16632702;0;"08A02"
14-02-2006 00:00:00;0,207975;;;0;"08A01"
14-02-2006 00:00:00;0,207614583333;0,174257291667;0,01505583;0;"08A07"
14-02-2006 00:00:00;0,0809965277778;2,4432375;0,21109572;0;"08A02"
15-02-2006 00:00:00;0,2168375;;;0;"08A01"
15-02-2006 00:00:00;0,20464516129;0,183550537634;0,0158587664516;0;"08A07"
15-02-2006 00:00:00;0,0606736111111;2,367634375;0,20456361;0;"08A02"
16-02-2006 00:00:00;0,2565125;;;0;"08A01"
16-02-2006 00:00:00;0,247605633803;0,370487323944;0,0320101047887;0;"08A07"
16-02-2006 00:00:00;0,00990625;1,90186458333;0,1643211;0;"08A02"
17-02-2006 00:00:00;0,238179166667;;;0;"08A01"
17-02-2006 00:00:00;0,254029411765;0,544773529412;0,0470684329412;0;"08A07"
17-02-2006 00:00:00;0,0430220775787;3,65109302958;0,315454437756;0;"08A02"
18-02-2006 00:00:00;0,233104166667;;;0;"08A01"
18-02-2006 00:00:00;0,255909090909;0,481463636364;0,0415984581818;0;"08A07"
18-02-2006 00:00:00;0,01928125;2,01553645833;0,17414235;0;"08A02"
19-02-2006 00:00:00;0,251020833333;;;0;"08A01"
19-02-2006 00:00:00;0,236617647059;0,489252941176;0,0422714541176;0;"08A07"
19-02-2006 00:00:00;0,0558333333333;4,10015208333;0,35425314;0;"08A02"
20-02-2006 00:00:00;0,214795833333;;;0;"08A01"
20-02-2006 00:00:00;0,215704225352;0,524994366197;0,0453595132394;0;"08A07"
20-02-2006 00:00:00;0,0685138888889;3,44821458333;0,29792574;0;"08A02"
21-02-2006 00:00:00;0,201770833333;;;0;"08A01"
21-02-2006 00:00:00;0,2181;0,49515;0,04278096;0;"08A07"
21-02-2006 00:00:00;0,0896875;3,03840208333;0,26251794;0;"08A02"
22-02-2006 00:00:00;0,180604166667;;;0;"08A01"
22-02-2006 00:00:00;0,213055555556;0,513372222222;0,04435536;0;"08A07"
22-02-2006 00:00:00;0,113371527778;2,15146875;0,1858869;0;"08A02"
23-02-2006 00:00:00;0,1948625;;;0;"08A01"
23-02-2006 00:00:00;0,205;0,49;0,042336;0;"08A07"
23-02-2006 00:00:00;0,163711805556;3,80140625;0,3284415;0;"08A02"
24-02-2006 00:00:00;0,1745;;;0;"08A01"
24-02-2006 00:00:00;0,195;0,467775;0,04041576;0;"08A07"
24-02-2006 00:00:00;0,0973645833333;3,68762604167;0,31861089;0;"08A02"
25-02-2006 00:00:00;0,1941375;;;0;"08A01"
25-02-2006 00:00:00;0,213688888889;0,452108888889;0,039062208;0;"08A07"
25-02-2006 00:00:00;0,192017361111;0,777269791667;0,06715611;0;"08A02"
26-02-2006 00:00:00;0,205433333333;;;0;"08A01"
26-02-2006 00:00:00;0,204048611111;0,303115625;0,02618919;0;"08A02"
26-02-2006 00:00:00;0,234833333333;0,394613541667;0,03409461;0;"08A07"
27-02-2006 00:00:00;0,2483875;;;0;"08A01"
27-02-2006 00:00:00;0,381263888889;0,241994791667;0,02090835;0;"08A02"
27-02-2006 00:00:00;0,34975;0,689635;0,059584464;0;"08A07"
28-02-2006 00:00:00;0,254483333333;;;0;"08A01"
28-02-2006 00:00:00;;;;0;"08A07"
28-02-2006 00:00:00;0,247586805556;8,50447291667;0,73478646;0;"08A02"
01-03-2006 00:00:00;0,2249625;;;0;"08A01"
01-03-2006 00:00:00;;;;0;"08A07"
01-03-2006 00:00:00;0,161333333333;5,88670833333;0,5086116;0;"08A02"
02-03-2006 00:00:00;0,208383333333;;;0;"08A01"
02-03-2006 00:00:00;;;;0;"08A07"
02-03-2006 00:00:00;0,113458333333;7,36586458333;0,6364107;0;"08A02"
03-03-2006 00:00:00;0,217541666667;;;0;"08A01"
03-03-2006 00:00:00;;;;0;"08A07"
03-03-2006 00:00:00;0,0661041666667;6,48113333333;0,55996992;0;"08A02"
04-03-2006 00:00:00;0,210625;;;0;"08A01"
04-03-2006 00:00:00;;;;0;"08A07"
04-03-2006 00:00:00;0,0578194444444;3,52049583333;0,30417084;0;"08A02"
05-03-2006 00:00:00;0,1952625;;;0;"08A01"
05-03-2006 00:00:00;;;;0;"08A07"
05-03-2006 00:00:00;0,0998993055556;3,58244583333;0,30952332;0;"08A02"
06-03-2006 00:00:00;0,1544625;;;0;"08A01"
06-03-2006 00:00:00;;;;0;"08A07"
06-03-2006 00:00:00;0,0415208333333;3,78123645833;0,32669883;0;"08A02"
07-03-2006 00:00:00;0,140133333333;;;0;"08A01"
07-03-2006 00:00:00;;;;0;"08A07"
07-03-2006 00:00:00;-0,0277638888889;2,75447395833;0,23798655;0;"08A02"
08-03-2006 00:00:00;0,151916666667;;;0;"08A01"
08-03-2006 00:00:00;0,167333333333;0,322922222222;0,02790048;0;"08A07"
08-03-2006 00:00:00;-0,0386354166667;1,7324375;0,1496826;0;"08A02"
09-03-2006 00:00:00;0,169929166667;;;0;"08A01"
09-03-2006 00:00:00;0,18;;;0;"08A07"
09-03-2006 00:00:00;0,0205290306415;1,58216508959;0,136699063741;0;"08A02"
10-03-2006 00:00:00;0,1604625;;;0;"08A01"
10-03-2006 00:00:00;;;;0;"08A07"
10-03-2006 00:00:00;-0,00386979166667;1,76887152778;0,1528305;0;"08A02"
11-03-2006 00:00:00;0,177658333333;;;0;"08A01"
11-03-2006 00:00:00;;;;0;"08A07"
11-03-2006 00:00:00;-0,04453125;1,83195601852;0,158281;0;"08A02"
12-03-2006 00:00:00;0,139716666667;;;0;"08A01"
12-03-2006 00:00:00;;;;0;"08A07"
12-03-2006 00:00:00;-0,046734375;1,43356626157;0,123860125;0;"08A02"
13-03-2006 00:00:00;0,1308625;;;0;"08A01"
13-03-2006 00:00:00;;;;0;"08A07"
